id,name,type,high,bass,note
D-10,D-10,INNER_FILTER,-3.5,3.5,
D-9,D-9,INNER_FILTER,-4,4,
D-8,D-8,INNER_FILTER,-2.5,2.5,
D-7,D-7,INNER_FILTER,-2,2,
D-6,D-6,INNER_FILTER,0,0,基準
D-5,D-5,INNER_FILTER,1,-0.5,
D-4,D-4,INNER_FILTER,2,-1,
D-3,D-3,INNER_FILTER,2.5,-2,
D-2,D-2,INNER_FILTER,3.5,-2.5,
D-1,D-1,INNER_FILTER,4,-3,
D-0,無し,INNER_FILTER,4.5,-3.5,
E-6,E-6,DEEP_FILTER,-4.5,4,
E-5,E-5,DEEP_FILTER,-3.5,3.5,
E-4,E-4,DEEP_FILTER,-2.5,2.5,
E-3,E-3,DEEP_FILTER,-2,2,
E-2,E-2,DEEP_FILTER,-0.75,1,
E-1,E-1,DEEP_FILTER,-0.5,0.5,
E-0,無し,DEEP_FILTER,0,0,基準
D-10o,D-10,OUTER_FILTER,-3.5,4.5,
D-9o,D-9,OUTER_FILTER,-4,5,
D-8o,D-8,OUTER_FILTER,-2.5,4,
D-7o,D-7,OUTER_FILTER,-2,3.5,
D-6o,D-6,OUTER_FILTER,-1.75,3,
D-5o,D-5,OUTER_FILTER,-1.5,2.5,
D-4o,D-4,OUTER_FILTER,-1.2,2,
D-3o,D-3,OUTER_FILTER,-1,1.5,
D-2o,D-2,OUTER_FILTER,-0.5,1,
D-1o,D-1,OUTER_FILTER,-0.25,0.5,
D-0o,無し,OUTER_FILTER,0,0,基準
F-10,F-10,VENT_FILTER,-2.5,3,
F-9,F-9,VENT_FILTER,-3.5,4,
F-8,F-8,VENT_FILTER,-1.5,2,
F-7,F-7,VENT_FILTER,-1,1,
F-6,F-6,VENT_FILTER,0,0,基準
F-5,F-5,VENT_FILTER,0.5,-1,
F-4,F-4,VENT_FILTER,1.5,-2,
F-3,F-3,VENT_FILTER,2,-2.5,
F-2,F-2,VENT_FILTER,2.5,-3.5,
F-1,F-1,VENT_FILTER,3,-4,
F-0,F-0,VENT_FILTER,3.5,-4.5,